"","1","2","3","NA","Alcohol_Related_N","Alcohol_Related_Y","DV_Related_N","DV_Related_Y","Assaults"
"2006/8/4",7,33,0,49,64,25,51,38,89
"2006/8/5",2,29,0,87,56,62,78,40,118
"2006/8/6",10,32,0,54,51,45,48,48,96
"2006/8/7",6,13,0,44,50,13,36,27,63
"2006/8/8",3,20,0,52,59,16,53,22,75
"2006/8/9",1,19,0,56,54,22,54,22,76
"2006/9/1",6,26,0,69,72,29,66,35,101
"2006/9/10",3,29,0,44,38,38,45,31,76
"2006/9/11",1,23,1,39,49,15,37,27,64
"2006/9/12",3,15,0,48,52,14,40,26,66
"2006/9/13",7,24,0,37,48,20,46,22,68
"2006/9/14",3,21,0,58,63,19,56,26,82
"2006/9/15",3,32,1,64,56,44,68,32,100
"2006/9/16",10,32,0,59,52,49,71,30,101
"2006/9/17",14,29,0,73,46,70,84,32,116
"2006/9/18",11,20,0,46,62,15,38,39,77
"2006/9/19",8,21,0,46,63,12,49,26,75
"2006/9/2",10,22,1,90,65,58,91,32,123
"2006/9/20",10,15,0,61,72,14,60,26,86
"2006/9/21",16,25,0,57,64,34,67,31,98
"2006/9/22",7,26,0,49,51,31,52,30,82
"2006/9/23",13,26,0,73,62,50,76,36,112
"2006/9/24",11,41,1,63,51,65,65,51,116
"2006/9/25",5,23,0,42,57,13,39,31,70
"2006/9/26",3,15,0,56,64,10,42,32,74
"2006/9/27",2,26,1,42,55,16,39,32,71
"2006/9/28",0,37,2,46,60,25,62,23,85
"2006/9/29",7,23,3,44,44,33,52,25,77
"2006/9/3",3,31,2,93,62,67,86,43,129
"2006/9/30",5,25,0,58,46,42,64,24,88
"2006/9/4",2,16,0,50,57,11,50,18,68
"2006/9/5",7,28,0,50,73,12,47,38,85
"2006/9/6",7,21,0,46,55,19,43,31,74
"2006/9/7",5,20,0,47,58,14,44,28,72
"2006/9/8",0,4,0,14,13,5,13,5,18
"2007/1/13",3,20,0,42,33,32,41,24,65
"2007/1/14",11,32,0,67,51,59,64,46,110
"2007/1/15",9,26,0,43,56,22,43,35,78
"2007/1/16",7,18,0,38,43,20,36,27,63
"2007/1/17",5,18,0,41,49,15,39,25,64
"2007/1/18",12,26,1,48,54,33,52,35,87
"2007/1/19",8,27,1,48,50,34,46,38,84
"2007/1/2",9,31,0,59,73,26,46,53,99
"2007/1/20",12,32,0,67,55,56,65,46,111
"2007/1/21",10,28,0,58,55,41,61,35,96
"2007/1/22",6,27,0,70,82,21,54,49,103
"2007/1/23",5,22,0,42,54,15,42,27,69
"2007/1/24",5,36,0,40,53,28,38,43,81
"2007/1/25",3,27,0,50,45,35,55,25,80
"2007/1/26",8,52,0,89,64,85,106,43,149
"2007/1/27",11,27,0,79,52,65,76,41,117
"2007/1/28",3,34,1,67,60,45,63,42,105
"2007/1/29",3,26,0,60,64,25,50,39,89
"2007/1/3",10,28,0,43,52,29,44,37,81
"2007/1/30",10,36,0,43,66,23,45,44,89
"2007/1/31",3,40,0,48,69,22,51,40,91
"2007/1/4",11,22,2,44,49,30,40,39,79
"2007/1/5",10,36,0,56,62,40,63,39,102
"2007/1/6",5,27,1,48,51,30,44,37,81
"2007/1/7",10,46,0,54,51,59,57,53,110
"2007/1/8",7,26,0,34,52,15,35,32,67
"2007/1/9",8,22,1,36,42,25,36,31,67
"2007/10/1",3,41,0,62,60,46,63,43,106
"2007/10/10",7,8,0,48,50,13,44,19,63
"2007/10/11",1,25,0,43,52,17,39,30,69
"2007/10/12",12,23,0,58,48,45,64,29,93
"2007/10/13",2,29,0,71,59,43,67,35,102
"2007/10/14",3,34,0,77,42,72,75,39,114
"2007/10/15",3,19,0,48,56,14,46,24,70
"2007/10/16",5,21,0,47,50,23,45,28,73
"2007/10/17",3,16,0,45,54,10,46,18,64
"2007/10/18",5,18,1,43,52,15,52,15,67
"2007/10/19",4,32,0,47,44,39,50,33,83
"2007/10/2",1,17,0,55,60,13,42,31,73
"2007/10/20",4,8,0,17,13,16,16,13,29
"2007/10/25",1,1,0,2,4,0,3,1,4
"2007/10/26",8,25,0,53,45,41,58,28,86
"2007/10/27",15,26,0,81,49,73,82,40,122
"2007/10/28",17,25,0,85,64,63,86,41,127
"2007/10/29",10,23,0,51,59,25,50,34,84
"2007/10/3",4,20,0,52,59,17,47,29,76
"2007/10/30",6,27,0,47,64,16,45,35,80
"2007/10/31",11,36,0,45,70,22,54,38,92
"2007/10/4",4,19,0,54,43,34,47,30,77
"2007/10/5",4,39,0,59,63,39,68,34,102
"2007/10/6",19,38,0,69,48,78,92,34,126
"2007/10/7",10,33,0,73,60,56,76,40,116
"2007/10/8",4,10,0,39,42,11,27,26,53
"2007/10/9",4,16,0,43,49,14,41,22,63
"2007/11/1",10,33,1,64,84,24,65,43,108
"2007/11/10",12,30,0,95,69,68,86,51,137
"2007/11/11",6,47,1,92,68,78,93,53,146
"2007/11/12",6,24,0,38,48,20,40,28,68
"2007/11/13",7,24,1,45,58,19,52,25,77
"2007/11/14",9,24,0,43,54,22,49,27,76
"2007/11/15",5,28,0,52,65,20,56,29,85
"2007/11/16",11,37,0,67,63,52,75,40,115
"2007/11/17",17,28,0,87,58,74,90,42,132
"2007/11/18",5,50,1,101,83,74,114,43,157
"2007/11/19",7,23,0,46,54,22,45,31,76
"2007/11/2",10,31,0,59,60,40,72,28,100
"2007/11/20",2,23,0,45,56,14,42,28,70
"2007/11/21",2,22,0,66,69,21,54,36,90
"2007/11/22",6,15,0,57,58,20,62,16,78
"2007/11/23",4,24,0,78,67,39,78,28,106
"2007/11/24",3,17,0,86,55,51,81,25,106
"2007/11/25",4,36,0,80,63,57,81,39,120
"2007/11/26",3,28,0,60,69,22,51,40,91
"2007/11/27",6,22,1,41,56,14,38,32,70
"2007/11/28",10,27,0,43,57,23,53,27,80
"2007/11/29",8,27,0,53,66,22,56,32,88
"2007/11/3",4,40,1,79,65,59,85,39,124
"2007/11/30",6,27,0,57,59,31,64,26,90
"2007/11/4",6,42,0,82,74,56,68,62,130
"2007/11/5",4,21,0,53,61,17,37,41,78
"2007/11/6",4,41,1,59,47,58,65,40,105
"2007/11/7",6,19,0,42,47,20,42,25,67
"2007/11/8",4,37,0,58,72,27,58,41,99
"2007/11/9",7,28,0,56,66,25,54,37,91
"2007/12/1",4,32,1,76,55,58,73,40,113
"2007/12/10",7,24,0,58,65,24,56,33,89
"2007/12/11",6,15,0,65,61,25,55,31,86
"2007/12/12",7,23,0,41,57,14,51,20,71
"2007/12/13",5,28,1,46,58,22,53,27,80
"2007/12/14",6,34,0,54,49,45,57,37,94
"2007/12/15",9,30,1,91,59,72,108,23,131
"2007/12/16",4,39,0,60,50,53,53,50,103
"2007/12/17",8,34,0,54,74,22,52,44,96
"2007/12/18",0,24,0,40,49,15,37,27,64
"2007/12/19",2,36,1,52,71,20,64,27,91
"2007/12/2",12,45,1,81,50,89,100,39,139
"2007/12/20",1,32,0,56,57,32,58,31,89
"2007/12/21",9,42,0,77,60,68,91,37,128
"2007/12/22",9,31,0,81,47,74,92,29,121
"2007/12/23",4,28,1,56,43,46,56,33,89
"2007/12/24",5,23,0,45,39,34,39,34,73
"2007/12/25",5,32,0,51,38,50,40,48,88
"2007/12/26",11,27,0,48,33,53,44,42,86
"2007/12/27",4,29,0,52,61,24,48,37,85
"2007/12/28",3,27,0,45,43,32,43,32,75
"2007/12/29",7,36,1,49,49,44,53,40,93
"2007/12/3",6,30,0,45,55,26,40,41,81
"2007/12/30",4,53,0,69,76,50,67,59,126
"2007/12/31",4,29,0,62,48,47,70,25,95
"2007/12/4",4,37,1,55,74,23,55,42,97
"2007/12/5",2,21,0,48,46,25,41,30,71
"2007/12/6",7,23,0,53,53,30,65,18,83
"2007/12/7",5,33,0,64,61,41,58,44,102
"2007/12/8",8,41,5,101,86,69,108,47,155
"2007/12/9",3,45,0,85,61,72,82,51,133
"2007/2/1",3,20,0,47,50,20,41,29,70
"2007/2/10",9,36,0,68,62,51,73,40,113
"2007/2/11",10,33,0,63,57,49,59,47,106
"2007/2/12",4,20,0,42,52,14,36,30,66
"2007/2/13",1,24,0,54,53,26,40,39,79
"2007/2/14",6,30,1,48,63,22,60,25,85
"2007/2/15",7,35,0,70,73,39,69,43,112
"2007/2/16",8,25,0,52,54,31,53,32,85
"2007/2/17",9,37,0,74,53,67,77,43,120
"2007/2/18",15,45,0,76,74,62,66,70,136
"2007/2/19",1,27,0,53,55,26,41,40,81
"2007/2/2",9,35,0,58,59,43,75,27,102
"2007/2/20",2,40,0,45,69,18,47,40,87
"2007/2/21",1,31,1,63,75,21,55,41,96
"2007/2/22",4,36,0,41,60,21,48,33,81
"2007/2/23",3,30,0,82,76,39,83,32,115
"2007/2/24",10,26,0,73,53,56,80,29,109
"2007/2/25",1,31,0,78,51,59,67,43,110
