date,Receiver,n,prop,rec
0014-03-22,3,2456,0.5151006711409396,200
0014-03-22,1,4412,0.9253355704697986,0
0014-03-22,2,4118,0.8636744966442953,190
0014-03-22,4,2855,0.5987835570469798,320
0014-03-22,5,254,0.05327181208053691,420
0014-03-23,3,1289,0.2703439597315436,200
0014-03-23,1,3674,0.7705536912751678,0
0014-03-23,2,3962,0.8309563758389261,190
0014-03-23,4,1541,0.32319630872483224,320
0014-03-23,5,22,0.004614093959731544,420
0014-03-24,3,2081,0.4364513422818792,200
0014-03-24,1,3922,0.8225671140939598,0
0014-03-24,2,4248,0.8909395973154363,190
0014-03-24,4,1077,0.22588087248322147,320
0014-03-25,3,536,0.11241610738255034,200
0014-03-25,1,4362,0.9148489932885906,0
0014-03-25,2,2595,0.544253355704698,190
0014-03-25,4,110,0.02307046979865772,320
0014-03-26,3,169,0.03544463087248322,200
0014-03-26,1,4399,0.9226090604026845,0
0014-03-26,2,1818,0.3812919463087248,190
0014-03-26,4,121,0.02537751677852349,320
0014-03-27,3,1399,0.29341442953020136,200
0014-03-27,1,4339,0.9100251677852349,0
0014-03-27,2,3392,0.7114093959731543,190
0014-03-27,4,1372,0.287751677852349,320
0014-03-27,5,31,0.0065016778523489934,420
0014-03-28,3,1724,0.3615771812080537,200
0014-03-28,1,4470,0.9375,0
0014-03-28,2,4036,0.8464765100671141,190
0014-03-28,4,1330,0.2789429530201342,320
0014-03-28,5,97,0.020343959731543623,420
0014-03-29,3,2700,0.5662751677852349,200
0014-03-29,1,4445,0.9322567114093959,0
0014-03-29,2,4072,0.8540268456375839,190
0014-03-29,4,1429,0.2997063758389262,320
0014-03-29,5,15,0.003145973154362416,420
0014-03-30,3,1362,0.28565436241610737,200
0014-03-30,1,4480,0.9395973154362416,0
0014-03-30,2,3824,0.802013422818792,190
0014-03-30,4,765,0.16044463087248323,320
0014-03-30,5,169,0.03544463087248322,420
0014-03-31,3,757,0.15876677852348994,200
0014-03-31,1,4427,0.928481543624161,0
0014-03-31,2,2700,0.5662751677852349,190
0014-03-31,4,1098,0.23028523489932887,320
0014-03-31,5,69,0.014471476510067114,420
0014-04-01,3,918,0.19253355704697986,200
0014-04-01,1,4430,0.9291107382550335,0
0014-04-01,2,3566,0.7479026845637584,190
0014-04-01,4,993,0.20826342281879195,320
0014-04-01,5,34,0.007130872483221477,420
0014-04-02,3,1295,0.2716023489932886,200
0014-04-02,1,4255,0.8924077181208053,0
0014-04-02,2,3744,0.785234899328859,190
0014-04-02,4,1502,0.3150167785234899,320
0014-04-02,5,44,0.009228187919463088,420
0014-04-03,3,1308,0.27432885906040266,200
0014-04-03,1,4127,0.8655620805369127,0
0014-04-03,2,3887,0.8152265100671141,190
0014-04-03,4,1081,0.22671979865771813,320
0014-04-04,3,3010,0.6312919463087249,200
0014-04-04,1,4113,0.8626258389261745,0
0014-04-04,2,4051,0.8496224832214765,190
0014-04-04,4,793,0.16631711409395974,320
0014-04-04,5,6,0.0012583892617449664,420
0014-04-05,3,2936,0.6157718120805369,200
0014-04-05,1,4237,0.8886325503355704,0
0014-04-05,2,4152,0.8708053691275168,190
0014-04-05,4,1704,0.3573825503355705,320
0014-04-05,5,116,0.024328859060402684,420
0014-04-06,3,3466,0.7269295302013423,200
0014-04-06,1,4396,0.9219798657718121,0
0014-04-06,2,4154,0.8712248322147651,190
0014-04-06,4,1313,0.2753775167785235,320
0014-04-06,5,28,0.00587248322147651,420
0014-04-07,3,1069,0.2242030201342282,200
0014-04-07,1,4459,0.9351929530201343,0
0014-04-07,2,2082,0.43666107382550334,190
0014-04-07,4,434,0.0910234899328859,320
0014-04-07,5,9,0.0018875838926174498,420
0014-04-08,3,180,0.037751677852348994,200
0014-04-08,1,4402,0.923238255033557,0
0014-04-08,2,1522,0.31921140939597314,190
0014-04-08,4,213,0.04467281879194631,320
0014-04-09,3,411,0.0861996644295302,200
0014-04-09,1,4277,0.8970218120805369,0
0014-04-09,2,2452,0.514261744966443,190
0014-04-09,4,256,0.053691275167785234,320
0014-04-09,5,9,0.0018875838926174498,420
0014-04-10,3,717,0.15037751677852348,200
0014-04-10,1,3740,0.7843959731543624,0
0014-04-10,2,3091,0.6482802013422819,190
0014-04-10,4,165,0.03460570469798658,320
0014-04-10,5,23,0.004823825503355705,420
0014-04-11,3,375,0.0786493288590604,200
0014-04-11,1,4025,0.8441694630872483,0
0014-04-11,2,1917,0.40205536912751677,190
0014-04-11,4,6,0.0012583892617449664,320
0014-04-12,3,3676,0.7709731543624161,200
0014-04-12,1,3842,0.8057885906040269,0
0014-04-12,2,4289,0.8995385906040269,190
0014-04-12,4,2961,0.621015100671141,320
0014-04-12,5,340,0.07130872483221476,420
0014-04-13,3,3820,0.8011744966442953,200
0014-04-13,1,3076,0.6451342281879194,0
0014-04-13,2,4035,0.84626677852349,190
0014-04-13,4,2325,0.4876258389261745,320
0014-04-13,5,168,0.03523489932885906,420
0014-04-14,3,4056,0.8506711409395973,200
0014-04-14,1,2410,0.5054530201342282,0
0014-04-14,2,4222,0.885486577181208,190
0014-04-14,4,1692,0.3548657718120805,320
0014-04-14,5,232,0.04865771812080537,420
0014-04-15,3,3618,0.7588087248322147,200
0014-04-15,1,3007,0.6306627516778524,0
